No, RawRotation, Rotation, CompRotation, ElecCompRotation, Mech_deg, Mech_Comp_deg
245,2665,2665,880.5,880.5,238.586,0
246,2764,2764,977.5,977.5,240.718,0
247,2748,2748,962.5,962.5,240.388,0
248,2722,2722,936.5,936.5,239.817,0
249,2735,2735,949.5,949.5,240.103,0
250,2572,2572,781.5,781.5,236.411,0
251,1996,1986,200.5,200.5,223.643,0
252,1401,1395,15993.5,2157.5,210.656,0
253,949,945,15543.5,1707.5,200.767,0
254,503,498,15096.5,1260.5,190.944,0
255,105,105,14696.5,860.5,182.154,0
256,16115,-268,14326.5,490.5,174.045,0
257,15782,-601,13992.5,156.5,166.705,0
258,15510,-875,13722.5,2192.5,160.772,0
259,15307,-1079,13518.5,1988.5,156.289,0
260,15289,-1091,13506.5,1976.5,156.003,0
261,15538,-840,13757.5,2227.5,161.673,0
262,16028,-349,14248.5,412.5,172.462,0
263,142,144,14742.5,906.5,183.274,0
264,488,491,15089.5,1253.5,190.856,0
265,731,733,15331.5,1495.5,196.108,0
266,871,873,15471.5,1635.5,199.184,0
267,1078,1083,15681.5,1845.5,203.909,0
268,1556,1567,16165.5,23.5,214.435,0
269,2245,2253,467.5,467.5,229.51,0
270,2873,2873,1096.5,1096.5,243.333,0
271,3447,3447,1667.5,1667.5,255.881,0
272,3927,3927,2144.5,2144.5,266.363,0
273,4186,4186,2399.5,93.5,271.967,0
274,4448,4448,2668.5,362.5,277.878,0
275,4710,4710,2921.5,615.5,283.438,0
276,4862,4862,3079.5,773.5,286.91,0
277,5053,5053,3267.5,961.5,291.041,0
278,5059,5059,3271.5,965.5,291.129,0
279,4940,4940,3150.5,844.5,288.47,0
280,4617,4617,2829.5,523.5,281.416,0
281,4146,4146,2353.5,47.5,270.956,0
282,3799,3799,2013.5,2010.5,263.418,0
283,3503,3503,1714.5,1714.5,256.914,0
284,3238,3238,1451.5,1451.5,251.134,0
285,3217,3217,1431.5,1436.5,250.805,0
286,3356,3356,1570.5,1572.5,253.793,0
287,3600,3600,1814.5,1819.5,259.221,0
288,3957,3957,2170.5,2170.5,266.934,0
289,4267,4267,2485.5,179.5,273.857,0
290,4589,4589,2803.5,503.5,280.977,0
291,4725,4725,2939.5,635.5,283.877,0
292,4643,4643,2857.5,548.5,281.966,0
293,4376,4376,2590.5,278.5,276.032,0
294,4272,4272,2486.5,180.5,273.945,0
295,4519,4519,2733.5,432.5,279.416,0
296,4759,4759,2973.5,670.5,284.647,0
297,4858,4858,3072.5,766.5,286.756,0
298,4698,4698,2912.5,604.5,283.196,0
299,4300,4300,2514.5,204.5,274.406,0
300,4047,4047,2261.5,2260.5,268.912,0
301,4019,4019,2230.5,2230.5,268.253,0
302,4015,4015,2231.5,2231.5,268.275,0
303,3923,3923,2136.5,2136.5,266.187,0
304,3952,3952,2170.5,2170.5,266.934,0
305,4299,4299,2518.5,212.5,274.582,0
306,4897,4897,3119.5,813.5,287.789,0
307,5563,5563,3786.5,1480.5,302.447,0
308,6189,6189,4413.5,2107.5,316.225,0
309,6576,6576,4790.5,178.5,324.51,0
310,6838,6842,5056.5,444.5,330.487,0
311,7059,7059,5273.5,661.5,335.124,0
312,7274,7274,5488.5,880.5,339.937,0
313,7572,7572,5786.5,1177.5,346.463,0
314,7733,7733,5949.5,1337.5,349.979,0
315,7939,7939,6156.5,1544.5,354.528,0
316,8297,-8086,6515.5,1903.5,2.39531,0
317,8912,-7471,7135.5,217.5,16.02,0
318,9762,-6621,7984.5,1066.5,34.6771,0
319,10658,-5716,8881.5,1963.5,54.389,0
320,11465,-4918,9689.5,465.5,72.145,0
321,12072,-4311,10289.5,1065.5,85.3302,0
322,12301,-4081,10516.5,1292.5,90.3406,0
323,12163,-4225,10372.5,1148.5,87.0223,0
324,11859,-4525,10072.5,848.5,80.5176,0
325,11578,-4809,9788.5,564.5,74.2547,0
326,11340,-5045,9552.5,328.5,69.0245,0
327,10997,-5392,9205.5,2287.5,61.509,0
328,10766,-5617,8980.5,2064.5,56.6085,0
329,10987,-5396,9201.5,2288.5,61.5309,0
330,11582,-4801,9796.5,581.5,74.6942,0
331,12339,-4044,10553.5,1329.5,91.3515,0
332,13043,-3340,11257.5,2033.5,106.756,0
333,13602,-2781,11816.5,286.5,119.018,0
334,14086,-2289,12308.5,778.5,129.808,0
335,14417,-1963,12634.5,1104.5,136.906,0
336,14394,-1990,12607.5,1077.5,136.225,0
