time, angle [deg], U Currrent [A], V Current [A], W Current [A] , Id[A], Iq[A]
0.332,10.724,-0.0225871,0.0937499,-0.0711627,0.105392,0.0570604
0.332,10.7459,0.0172765,0.0363462,-0.0536227,0.0669613,-0.00333303
0.333,10.68,-0.0551424,0.0351503,0.0199921,-0.00722835,0.0679975
0.334,10.5921,-0.0684303,0.112884,-0.0444541,0.0844228,0.110791
0.335,10.6141,-0.0126212,0.112884,-0.100263,0.140911,0.0556689
0.335,10.6361,-0.054478,0.0602644,-0.00578638,0.0273181,0.0767259
0.336,10.658,-0.00398413,0.170288,-0.166304,0.228173,0.0678835
0.336,10.658,-0.0445121,0.0734194,-0.0289073,0.0549026,0.0722101
0.337,10.6141,0.00731056,0.171484,-0.178794,0.240865,0.0577629
0.338,10.6361,-0.0252447,0.026779,-0.00153425,0.0110006,0.0351236
0.339,10.5701,-0.0518205,0.0829867,-0.0311662,0.0605307,0.0829429
0.34,10.658,-0.0338818,0.164308,-0.130427,0.189403,0.0963487
0.341,10.6141,-0.0239159,0.0997294,-0.0758135,0.111899,0.0611898
0.341,10.6361,-0.00199095,0.078203,-0.0762121,0.10479,0.0307727
0.342,10.702,-0.00199095,0.112884,-0.110893,0.151911,0.0443545
0.342,10.658,-0.0578,0.0829867,-0.0251867,0.0551922,0.0884071
0.343,10.702,-0.0631151,0.078203,-0.0150879,0.0435743,0.091805
0.344,10.6361,-0.0179364,0.0746153,-0.0566789,0.0837999,0.0455988
0.344,10.702,-0.0551424,0.122452,-0.0673092,0.11171,0.100131
0.345,10.702,0.0106325,0.0734194,-0.0840519,0.110856,0.0167052
0.346,10.724,-0.0338818,0.141586,-0.107704,0.159168,0.0863732
0.347,10.68,-0.032553,0.0937499,-0.0611968,0.0955907,0.0667549
0.348,10.7679,0.0398658,0.0734194,-0.113285,0.140143,-0.0131582
0.348,10.702,-0.0232515,0.0447176,-0.0214661,0.0379868,0.0394727
0.349,10.7459,-0.039197,0.110493,-0.0712956,0.112046,0.0792074
0.349,10.8119,0.00863935,0.00166488,-0.0103042,0.0108608,-0.00810129
0.35,10.7459,-0.0338818,0.0746153,-0.0407335,0.0686069,0.0609293
0.351,10.7679,-0.0458409,0.0363462,0.00949468,0.00435511,0.0591068
0.352,10.7899,-0.0657727,0.0985335,-0.0327608,0.0692199,0.101572
0.353,10.8119,-0.0438477,0.136803,-0.0929548,0.14364,0.0929818
0.354,10.7679,-0.0338818,0.0829867,-0.0491048,0.079728,0.0639492
0.354,10.7459,-0.0451765,0.103317,-0.0581406,0.0962776,0.0826215
0.355,10.7459,0.0298999,0.102121,-0.132021,0.169491,0.00500402
0.357,10.7679,-0.0445121,0.135607,-0.0910945,0.141344,0.0932235
0.358,10.7899,-0.0604576,0.0901621,-0.0297046,0.0630672,0.092876
0.358,10.7679,-0.039197,0.065048,-0.0258511,0.0502402,0.0625448
0.359,10.724,-0.0551424,0.0638521,-0.00870971,0.032595,0.078302
0.36,10.7679,-0.0465053,0.0937499,-0.0472445,0.0820872,0.080284
0.36,10.7899,-0.0438477,0.0506971,-0.00684941,0.025647,0.0623054
0.361,10.7459,-0.0332174,0.122452,-0.0892342,0.134355,0.0775189
0.362,10.7679,-0.035875,0.124843,-0.0889685,0.134761,0.0814116
0.362,10.7459,-0.0445121,0.111688,-0.0671764,0.108387,0.0849744
0.363,10.7899,-0.0378682,0.124843,-0.0869753,0.13277,0.0837633
0.363,10.7679,-0.0531492,0.149958,-0.0968083,0.151824,0.108265
0.364,10.702,-0.0445121,0.0578726,-0.0133605,0.0344446,0.0657468
0.365,10.702,0.00930374,0.0937499,-0.103054,0.137263,0.0255861
0.366,10.68,-0.0458409,0.0542849,-0.00844395,0.0280382,0.065677
0.367,10.68,-0.0657727,0.0351503,0.0306224,-0.0180856,0.0785147
0.368,10.702,-0.0252447,0.0829867,-0.057742,0.0877329,0.0562242
0.369,10.6361,-0.00398413,0.0937499,-0.0897657,0.123709,0.039483
0.37,10.658,-0.0551424,0.0829867,-0.0278443,0.0576305,0.0863771
0.373,10.658,-0.0332174,0.102121,-0.0689038,0.105795,0.0713251
0.374,10.724,-0.0332174,0.0674399,-0.0342224,0.0591306,0.0581483
0.376,10.724,-0.0445121,0.116472,-0.07196,0.114461,0.0873159
0.377,10.724,-0.0551424,0.0722235,-0.0170811,0.0433941,0.0816433
0.379,10.702,-0.032553,0.111688,-0.0791354,0.120299,0.0729692
0.38,10.702,-0.0684303,0.0638521,0.00457815,0.0184088,0.0917795
0.381,10.7459,-0.039197,0.0734194,-0.0342224,0.0617035,0.0658336
0.384,10.724,-0.0551424,0.108101,-0.0529583,0.0928916,0.0943515
0.385,10.7459,-0.0126212,0.0554808,-0.0428595,0.0632938,0.0326841
