time, angle [deg]
8.903,13188.4
8.913,13212.2
8.923,13236.9
8.933,13258.7
8.943,13280.3
8.953,13301.4
8.964,13319.5
8.974,13342.1
8.984,13361
8.994,13381.1
9.004,13401.8
9.014,13418.6
9.024,13440.7
9.035,13460
9.045,13477.8
9.055,13499.2
9.065,13517.7
9.075,13540.1
9.085,13561.2
9.096,13580.6
9.106,13601.6
9.116,13618.6
9.126,13636.3
9.136,13654.8
9.146,13671.5
9.156,13688.4
9.167,13707.1
9.177,13722.8
9.187,13741
9.197,13760.2
9.207,13774.6
9.217,13793.9
9.227,13812.4
9.238,13827.4
9.248,13847.5
9.258,13865.7
9.268,13882.6
9.278,13904.8
9.288,13923.8
9.298,13942.3
9.309,13962
9.319,13977.9
9.329,13993.7
9.339,14011.9
9.349,14028.3
9.359,14042
9.369,14061.7
9.38,14077.2
9.39,14092.8
9.4,14112.4
9.41,14128.8
9.42,14144.4
9.43,14164.1
9.44,14181.5
9.451,14197.5
9.461,14217.9
9.471,14235.3
9.481,14255.5
9.491,14276.7
9.501,14294.4
9.511,14315
9.522,14333.2
9.532,14347.3
9.542,14367
9.552,14384.3
9.562,14397.8
9.572,14417.6
9.582,14433.7
9.593,14448.6
9.603,14467.8
9.613,14485.1
9.623,14498.6
9.633,14519
9.643,14537.1
9.653,14551.9
9.664,14573.4
9.674,14591.6
9.684,14610.9
9.694,14632.8
9.704,14651.2
9.714,14671.3
9.725,14690.3
9.735,14704.3
9.745,14723.5
9.755,14740.8
9.765,14754.9
9.775,14773.5
9.785,14790.5
9.795,14805.4
9.806,14823.7
9.816,14841.8
9.826,14855.2
9.836,14874.3
9.846,14892.6
9.856,14907.3
9.867,14927.4
9.877,14945.7
9.887,14962.6
9.897,14984.6
9.907,15003.5
9.917,15021.6
9.927,15041.2
9.938,15057.3
9.948,15072.2
9.958,15090.4
9.968,15106.7
9.978,15119.3
9.988,15138.7
9.998,15154
10.009,15168.4
10.019,15187.4
10.029,15204.5
10.039,15217.5
10.049,15237.3
10.059,15255.3
10.069,15269.2
10.08,15290.4
10.09,15308.5
10.1,15326.4
10.11,15348.4
10.12,15366.9
10.13,15386
10.141,15405.3
10.151,15420.4
10.161,15437.6
10.171,15454.9
10.181,15470.5
10.191,15485.4
10.201,15504.1
10.212,15519.1
10.222,15535.4
10.232,15554.6
10.242,15570.1
10.252,15586.6
10.262,15606.2
10.273,15623.2
10.283,15641
10.293,15660.8
10.303,15678.6
10.313,15700.3
10.323,15720.6
10.333,15739
10.344,15759.8
10.354,15776.8
10.364,15792.5
10.374,15811
10.384,15827.6
10.395,15841.3
10.405,15861.1
10.415,15876.6
10.425,15892.1
10.435,15911.6
10.445,15928
10.455,15942.9
10.466,15963.3
10.476,15981
10.486,15997.1
10.496,16017.9
10.506,16035.6
10.516,16056.5
10.527,16077.4
10.537,16095.4
10.547,16116.2
10.557,16134.6
10.567,16149.1
10.577,16168.6
10.587,16185.6
10.598,16199.3
10.608,16219.4
10.618,16235.3
10.628,16250.7
10.638,16270.3
10.648,16287.4
10.659,16302
10.669,16322.3
10.679,16339.9
10.689,16355.2
10.699,16376
10.709,16393.6
10.719,16412.9
10.73,16433.9
10.74,16451.7
10.75,16471.5
10.76,16490.3
10.77,16503.9
10.78,16522.9
10.79,16539.8
10.8,16553.8
10.811,16571.3
10.821,16588.6
10.831,16603.5
10.841,16621.3
10.851,16640
10.861,16653.8
10.872,16672.5
10.882,16691.1
10.892,16706.2
10.902,16725.6
10.912,16743.8
10.922,16760.6
10.932,16782.1
10.943,16801.6
10.953,16819
10.963,16838.8
10.973,16855.3
10.983,16868.8
10.993,16887.7
11.004,16904.2
11.014,16916.6
11.024,16935.5
11.034,16951.4
11.044,16965.6
11.054,16983.6
11.064,17001.4
11.075,17014.5
11.085,17033
11.095,17051.2
11.105,17066
11.115,17085
11.125,17103.5
11.135,17120.1
11.146,17142.2
11.156,17162
11.166,17180.5
11.176,17200.4
11.186,17217.1
11.196,17232.1
11.206,17250.7
11.217,17267.1
11.227,17280.1
11.237,17299.3
11.247,17314.5
11.257,17328.7
11.267,17347.9
11.277,17365.2
11.288,17378.6
11.298,17398.9
11.308,17417.1
11.318,17431.6
11.328,17452.9
11.338,17470.9
11.348,17489.4
11.359,17511.5
11.369,17529.7
11.379,17549.4
11.389,17568.4
11.399,17582.4
11.409,17600.8
11.419,17617.7
11.43,17632.5
11.44,17648.9
11.45,17666.6
11.46,17681.3
11.47,17698.2
11.48,17717.2
11.491,17731.8
11.501,17749.4
11.511,17768.3
11.521,17784.6
11.531,17803.4
11.541,17822.5
11.551,17839.8
11.562,17862
11.572,17881.8
11.582,17900.3
11.592,17920.3
11.602,17937
11.612,17952
11.622,17970.8
11.633,17987.2
11.643,18000.7
11.653,18020.2
11.663,18035.6
11.673,18050.5
11.683,18069.8
11.694,18086.5
11.704,18100.3
11.714,18120.7
11.724,18138.8
11.734,18153.7
11.744,18175.1
11.754,18192.9
11.765,18212.6
11.775,18234.5
11.785,18252.8
11.795,18273.3
11.805,18292.1
11.815,18306.2
11.825,18326
11.836,18343.4
11.846,18357
11.856,18376.7
11.866,18392.9
11.876,18408
11.886,18427.3
11.897,18445.1
11.907,18459
11.917,18479.5
11.927,18497.4
11.937,18511.9
11.947,18533.1
11.957,18551.1
11.968,18569.6
11.978,18591.3
11.988,18609.4
11.998,18629
12.008,18648.2
12.018,18662.5
12.028,18680.9
12.039,18698.2
