time [sec], Angle [deg], Uph-Current [A], Vph-Current [A], Wph-Current [A]
6.001,19455.3,-0.137104,1.04398,-0.906881
6.021,19523.6,-0.878989,-0.119665,0.998654
6.041,19590.2,1.26619,-0.776085,-0.490106
6.062,19657.8,-0.223455,0.999498,-0.776043
6.082,19726.6,-0.716662,-0.174926,0.891588
6.102,19793.4,1.16833,-0.593024,-0.575308
6.122,19862.9,-0.195961,0.989218,-0.793258
6.142,19929.2,-0.718759,-0.190773,0.909533
6.162,19996.2,1.07621,-0.605674,-0.470533
6.183,20065.4,-0.284602,0.923692,-0.63909
6.203,20131.8,-0.526982,-0.351337,0.878319
6.223,20201.1,0.971624,-0.393885,-0.577739
6.243,20267.7,-0.403008,0.819468,-0.416461
6.263,20333.8,-0.320376,-0.489811,0.810186
6.284,20404.1,0.938101,-0.130195,-0.807906
6.304,20470.3,-0.540224,0.692296,-0.152072
6.324,20538.9,-0.279277,-0.465093,0.74437
6.344,20608.7,0.912878,0.189668,-1.10255
6.364,20672.8,-0.558734,0.667014,-0.10828
6.385,20741.3,0.32501,-0.669326,0.344316
6.405,20811.5,0.735211,0.501968,-1.23718
6.425,20876.5,-0.727037,0.506417,0.220619
6.445,20946.2,0.866966,-0.897542,0.030576
6.465,21013,0.361176,0.614135,-0.975311
6.485,21080.2,-1.00043,-0.0181932,1.01862
6.506,21149.4,1.49599,-1.19049,-0.305503
6.526,21215.4,-0.00681434,1.17154,-1.16473
6.546,21285.3,-1.27577,0.00350181,1.27226
6.566,21352.6,1.4972,-1.19658,-0.300613
6.586,21418.2,-0.0350437,1.17089,-1.13584
6.607,21487.4,-1.15909,-0.056529,1.21562
6.627,21555.6,1.49019,-1.10142,-0.388764
6.647,21623.9,-0.0103134,1.16244,-1.15213
6.667,21691.1,-1.15859,-0.0469501,1.20554
6.687,21757.2,1.40306,-1.00916,-0.393901
6.707,21826.6,-0.070184,1.13171,-1.06153
6.727,21894.4,-1.02064,-0.0821887,1.10283
6.748,21962,1.42613,-0.994924,-0.431206
6.768,22031,-0.0751496,1.1108,-1.03565
6.788,22096.1,-0.91159,-0.120933,1.03252
6.808,22163.5,1.24421,-0.89823,-0.345982
6.828,22233.2,-0.132674,1.06324,-0.930564
6.848,22299,-0.89771,-0.101004,0.998714
6.869,22368.2,1.19835,-0.765436,-0.432919
6.889,22434.2,-0.19634,1.00028,-0.803935
6.909,22500.6,-0.74657,-0.196109,0.942679
6.929,22570.8,1.19737,-0.630645,-0.566724
6.949,22636.8,-0.253771,0.969198,-0.715427
6.969,22705.9,-0.532327,-0.235879,0.768206
6.99,22774.8,1.13598,-0.399952,-0.736029
7.01,22839.3,-0.364062,0.878352,-0.51429
7.03,22908.3,-0.285694,-0.349669,0.635363
7.05,22977.3,0.948439,-0.398372,-0.550067
7.07,23044,-0.382418,0.824222,-0.441804
7.09,23113,-0.0461634,-0.494261,0.540424
7.111,23178.8,0.780929,-0.146116,-0.634813
7.131,23245.2,-0.58304,0.635991,-0.0529509
