time, angle [deg], U Currrent [A], V Current [A], W Current [A] , Id[A], Iq[A]
0.499,345.892,1.26301,2.36956,-3.63258,-4.43255,0.87074
0.499,345.848,1.26301,2.36956,-3.63258,-4.43255,0.87074
0.5,345.76,1.26301,2.36956,-3.63258,-4.44164,0.823089
0.5,345.936,1.26301,2.36956,-3.63258,-4.43716,0.87074
0.5,345.848,1.26301,2.36956,-3.63258,-4.43019,0.882638
0.502,345.848,1.26301,2.36956,-3.63258,-4.43942,0.835011
0.503,345.804,1.26301,2.36956,-3.63258,-4.43942,0.835011
0.504,345.738,1.26301,2.36956,-3.63258,-4.44164,0.823089
0.504,345.782,1.26301,2.36956,-3.63258,-4.43942,0.835011
0.504,345.826,1.26301,2.36956,-3.63258,-4.43255,0.87074
0.505,345.804,1.26301,2.36956,-3.63258,-4.42539,0.906413
0.505,345.826,1.26301,2.36956,-3.63258,-4.43019,0.882638
0.506,345.804,1.26301,2.36956,-3.63258,-4.43019,0.882638
0.508,345.892,1.26301,2.36956,-3.63258,-4.43019,0.882638
0.508,345.914,1.26301,2.36956,-3.63258,-4.42781,0.894528
0.509,345.936,1.26301,2.36956,-3.63258,-4.42539,0.906413
0.509,345.958,1.26301,2.36956,-3.63258,-4.42539,0.906413
0.51,345.914,1.26301,2.36956,-3.63258,-4.42046,0.930162
0.51,345.958,1.26301,2.36956,-3.63258,-4.42046,0.930162
0.51,345.98,1.26301,2.36956,-3.63258,-4.42294,0.918291
0.511,346.046,1.26301,2.36956,-3.63258,-4.42294,0.918291
0.511,346.002,1.26301,2.36956,-3.63258,-4.41795,0.942027
0.511,346.002,1.26301,2.36956,-3.63258,-4.4154,0.953885
0.512,346.024,1.26301,2.36956,-3.63258,-4.41022,0.97758
0.512,346.112,1.26301,2.36956,-3.63258,-4.41283,0.965736
0.513,346.09,1.26301,2.36956,-3.63258,-4.41283,1.00125
0.513,346.112,1.26301,2.36956,-3.63258,-4.41022,0.97758
0.514,346.09,1.26301,2.36956,-3.63258,-4.4049,1.00125
0.514,346.09,1.26301,2.36956,-3.63258,-4.4022,1.01307
0.515,346.112,1.26301,2.36956,-3.63258,-4.40758,0.989417
0.515,346.09,1.26301,2.36956,-3.63258,-4.3967,1.03669
0.515,346.178,1.26301,2.36956,-3.63258,-4.3939,1.04849
0.516,346.221,1.26301,2.36956,-3.63258,-4.3967,1.04849
0.516,346.178,1.26301,2.36956,-3.63258,-4.3939,1.04849
0.516,346.221,1.26301,2.36956,-3.63258,-4.3939,1.04849
0.517,346.265,1.26301,2.36956,-3.63258,-4.3939,1.04849
0.517,346.243,1.26301,2.36956,-3.63258,-4.38238,1.08385
0.518,346.265,1.26301,2.36956,-3.63258,-4.38531,1.08385
0.518,346.287,1.26301,2.36956,-3.63258,-4.3882,1.07207
0.518,346.287,1.26301,2.36956,-3.63258,-4.37943,1.10738
0.519,346.353,1.26301,2.36956,-3.63258,-4.37943,1.10738
0.519,346.287,1.26301,2.36956,-3.63258,-4.37943,1.10738
0.519,346.309,1.26301,2.36956,-3.63258,-4.37342,1.13088
0.52,346.331,1.26301,2.36956,-3.63258,-4.37644,1.10738
0.52,346.331,1.26301,2.36956,-3.63258,-4.37342,1.13088
0.52,346.331,1.26301,2.36956,-3.63258,-4.37037,1.13088
0.521,346.353,1.26301,2.36956,-3.63258,-4.37943,1.10738
0.521,346.309,1.26301,2.36956,-3.63258,-4.37342,1.13088
0.521,346.309,1.26301,2.36956,-3.63258,-4.37037,1.14262
0.522,346.331,1.26301,2.36956,-3.63258,-4.36728,1.15435
0.522,346.309,1.26301,2.36956,-3.63258,-4.36728,1.15435
0.523,346.353,1.26301,2.36956,-3.63258,-4.37037,1.14262
0.523,346.375,1.26301,2.36956,-3.63258,-4.36102,1.16607
0.523,346.397,1.26301,2.36956,-3.63258,-4.37342,1.14262
0.524,346.353,1.26301,2.36956,-3.63258,-4.36417,1.16607
0.524,346.397,1.26301,2.36956,-3.63258,-4.37037,1.14262
0.524,346.353,1.26301,2.36956,-3.63258,-4.35784,1.18948
0.525,346.353,1.26301,2.36956,-3.63258,-4.36102,1.17778
0.525,346.397,1.26301,2.36956,-3.63258,-4.36417,1.15435
0.526,346.375,1.26301,2.36956,-3.63258,-4.36728,1.15435
0.526,346.397,1.26301,2.36956,-3.63258,-4.37342,1.13088
0.527,346.331,1.26301,2.36956,-3.63258,-4.37943,1.10738
0.527,346.419,1.26301,2.36956,-3.63258,-4.37037,1.14262
0.528,346.441,1.26301,2.36956,-3.63258,-4.36728,1.15435
0.529,346.375,1.26301,2.36956,-3.63258,-4.37943,1.10738
0.529,346.353,1.26301,2.36956,-3.63258,-4.37644,1.11913
0.53,346.331,1.26301,2.36956,-3.63258,-4.37644,1.11913
0.53,346.309,1.26301,2.36956,-3.63258,-4.37943,1.10738
0.531,346.309,1.26301,2.36956,-3.63258,-4.37644,1.11913
0.531,346.309,1.26301,2.36956,-3.63258,-4.38531,1.07207
0.532,346.265,1.26301,2.36956,-3.63258,-4.3882,1.07207
0.532,346.287,1.26301,2.36956,-3.63258,-4.37644,1.09562
0.532,346.265,1.26301,2.36956,-3.63258,-4.38238,1.09562
0.533,346.243,1.26301,2.36956,-3.63258,-4.39946,1.02488
0.533,346.221,1.26301,2.36956,-3.63258,-4.3882,1.07207
0.534,346.178,1.26301,2.36956,-3.63258,-4.3967,1.07207
0.534,346.221,1.26301,2.36956,-3.63258,-4.39107,1.06029
0.534,346.221,1.26301,2.36956,-3.63258,-4.39107,1.06029
0.535,346.199,1.26301,2.36956,-3.63258,-4.3939,1.04849
0.535,346.221,1.26301,2.36956,-3.63258,-4.3882,1.07207
0.535,346.134,1.26301,2.36956,-3.63258,-4.39107,1.06029
0.536,346.156,1.26301,2.36956,-3.63258,-4.3967,1.03669
0.536,346.178,1.26301,2.36956,-3.63258,-4.39946,1.02488
0.536,346.134,1.26301,2.36956,-3.63258,-4.3939,1.04849
0.537,346.178,1.26301,2.36956,-3.63258,-4.3939,1.04849
0.538,346.09,1.26301,2.36956,-3.63258,-4.39946,1.02488
0.539,346.178,1.26301,2.36956,-3.63258,-4.4022,1.01307
0.539,346.156,1.26301,2.36956,-3.63258,-4.4049,1.00125
0.539,346.09,1.26301,2.36956,-3.63258,-4.39946,1.02488
0.54,346.156,1.26301,2.36956,-3.63258,-4.39946,1.02488
0.54,346.112,1.26301,2.36956,-3.63258,-4.4022,1.01307
0.54,346.112,1.26301,2.36956,-3.63258,-4.41022,0.97758
0.541,346.068,1.26301,2.36956,-3.63258,-4.41283,0.965736
0.541,346.134,1.26301,2.36956,-3.63258,-4.40758,0.989417
0.541,346.09,1.26301,2.36956,-3.63258,-4.4154,0.953885
0.542,346.156,1.26301,2.36956,-3.63258,-4.40758,0.989417
0.542,346.068,1.26301,2.36956,-3.63258,-4.41022,0.97758
0.542,346.112,1.26301,2.36956,-3.63258,-4.4049,0.97758
0.546,346.046,1.26301,2.36956,-3.63258,-4.4154,0.953885
0.546,346.024,1.26301,2.36956,-3.63258,-4.41283,0.965736
0.546,346.024,1.26301,2.36956,-3.63258,-4.42046,0.930162
0.549,345.98,1.26301,2.36956,-3.63258,-4.42539,0.906413
0.553,345.958,1.26301,2.36956,-3.63258,-4.42046,0.930162
0.555,345.892,1.26301,2.36956,-3.63258,-4.42046,0.930162
0.555,345.914,1.26301,2.36956,-3.63258,-4.43019,0.882638
0.558,345.914,1.26301,2.36956,-3.63258,-4.43019,0.906413
0.56,345.914,1.26301,2.36956,-3.63258,-4.42781,0.894528
0.56,345.87,1.26301,2.36956,-3.63258,-4.42539,0.906413
0.562,345.914,1.26301,2.36956,-3.63258,-4.42294,0.906413
0.562,345.914,1.26301,2.36956,-3.63258,-4.43019,0.882638
0.565,345.914,1.26301,2.36956,-3.63258,-4.42539,0.906413
0.566,345.936,1.26301,2.36956,-3.63258,-4.42539,0.942027
0.569,345.958,1.26301,2.36956,-3.63258,-4.42539,0.906413
0.57,345.936,1.26301,2.36956,-3.63258,-4.42294,0.918291
0.571,345.958,1.26301,2.36956,-3.63258,-4.42294,0.918291
0.571,345.98,1.26301,2.36956,-3.63258,-4.42294,0.918291
0.571,345.936,1.26301,2.36956,-3.63258,-4.42046,0.930162
0.572,345.936,1.26301,2.36956,-3.63258,-4.42294,0.918291
0.573,345.914,1.26301,2.36956,-3.63258,-4.42046,0.930162
0.575,345.98,1.26301,2.36956,-3.63258,-4.41795,0.942027
0.576,345.936,1.26301,2.36956,-3.63258,-4.4154,0.942027
0.577,346.024,1.26301,2.36956,-3.63258,-4.42046,0.930162
0.578,346.024,1.26301,2.36956,-3.63258,-4.42046,0.965736
0.579,346.024,1.26301,2.36956,-3.63258,-4.41795,0.930162
0.58,346.024,1.26301,2.36956,-3.63258,-4.42046,0.965736
0.58,346.002,1.26301,2.36956,-3.63258,-4.41022,0.965736
0.581,346.024,1.26301,2.36956,-3.63258,-4.41283,0.953885
