time, angle [deg], U Currrent [A], V Current [A], W Current [A] , Id[A], Iq[A]
0.337,107.613,0.104312,0.379572,-0.483884,0.443111,0.439036
0.338,107.657,-0.140185,-0.00192284,0.142108,-0.199365,0.0101838
0.338,107.613,0.423221,-0.137061,-0.28616,0.49061,-0.197714
0.339,107.613,-0.437833,0.226496,0.211337,-0.442343,0.305676
0.34,107.635,-0.0119568,0.0447176,-0.0327608,0.0182648,0.053687
0.343,107.657,-0.0783962,-0.672828,0.751224,-0.635105,-0.787288
0.343,107.635,-0.134205,-0.00192284,0.136128,-0.190974,0.00914013
0.344,107.613,0.391994,-0.0975955,-0.294399,0.476486,-0.152329
0.347,107.657,-0.332194,0.111688,0.220506,-0.382317,0.156955
0.347,107.635,0.115607,-0.921577,0.80597,-0.552179,-1.0988
0.348,107.635,-0.0558068,0.0375421,0.0182647,-0.0497804,0.0487783
0.35,107.591,0.0039886,-0.69555,0.691561,-0.53431,-0.822542
0.351,107.657,0.312267,-0.194464,-0.117803,0.291291,-0.253681
0.351,107.569,0.22191,-0.078461,-0.143449,0.251803,-0.112803
0.354,107.679,0.50627,-0.078461,-0.427809,0.653156,-0.137379
0.355,107.635,-0.0126212,-0.709901,0.722522,-0.575634,-0.833548
0.356,107.657,0.131552,0.0447176,-0.17627,0.220219,0.0433594
0.356,107.679,-0.00996367,-0.921577,0.93154,-0.735304,-1.08269
0.357,107.657,0.00797496,-1.07346,1.06548,-0.832243,-1.26516
0.358,107.613,-0.0498273,-0.304488,0.354315,-0.309575,-0.35341
0.36,107.635,-0.0551424,-0.691962,0.747105,-0.612825,-0.815146
0.361,107.679,0.412591,0.838801,-1.25139,1.23624,0.95473
0.363,107.657,-0.0538136,0.657023,-0.603209,0.440332,0.778704
0.365,107.679,-0.267748,0.0160158,0.251733,-0.365372,0.0426421
0.366,107.679,0.396645,-0.0748733,-0.321772,0.501892,-0.122072
0.367,107.635,-0.11826,-0.0736774,0.191937,-0.224163,-0.0774896
0.369,107.679,-0.394647,0.152349,0.242298,-0.437783,0.214502
